"StudentID","Name","Address","Age","Gender","Ethnicity","ParentalEducation","StudyTimeWeekly","Absences","Tutoring","ParentalSupport","Extracurricular","Sports","Music","Volunteering","GPA","GradeClass"
"1001","Megan Boyd","2187 Austin Ville Apt. 554, Karenhaven, DE 96575","17","Female","Caucasian","Graduate","20","7","Yes","Moderate","No","No","Yes","No","2.93","C"
"1002","Stephanie Sanchez","0480 Monica Haven Apt. 471, Everettmouth, OH 66458","18","Male","Caucasian","High School","15","0","No","Low","No","No","No","No","3.04","B"
"1003","Ariel Bates","48339 Carrie Meadows, Lake Amandafurt, PA 09559","15","Male","Asian","Post Graduate","4","26","No","Moderate","No","No","No","No","0.11","F"
"1004","John Green","5988 Camacho Tunnel, Tonyview, FL 21980","17","Female","Caucasian","Post Graduate","10","14","No","High","Yes","No","No","No","2.05","D"
"1005","Diane Brown","30818 Donna Villages Apt. 259, Port Johnchester, KS 23175","17","Female","Caucasian","Graduate","5","17","Yes","High","No","No","No","No","1.29","F"
"1006","Chad Houston","1375 Johnson Shore, New Christine, OH 32876","18","Male","Caucasian","High School","8","0","No","Low","Yes","No","No","No","3.08","B"
"1007","Casey Macdonald","8596 David Underpass, Jasonview, FL 35821","15","Male","African American","High School","16","10","No","High","No","Yes","No","No","2.75","C"
"1008","Linda Cox","39214 Joshua Squares Apt. 718, South Martin, IL 08480","15","Female","African American","PHD","15","22","Yes","Low","Yes","No","No","No","1.36","F"
"1009","Joshua Williams","Unit 2116 Box 4710, DPO AA 73010","17","Male","Caucasian","None","5","1","No","Moderate","No","Yes","No","Yes","2.90","C"
"1010","Jeanette Norton","101 Booth Path Apt. 651, Powellland, IA 75349","16","Female","Caucasian","High School","18","0","No","High","Yes","No","No","No","3.57","A"
"1011","Elizabeth Vasquez","Unit 2761 Box 0737, DPO AP 33050","17","Male","Caucasian","High School","12","11","No","Low","No","No","No","No","2.15","D"
"1012","Susan Andrade","26425 Carlos Junction Apt. 489, New Lisa, MT 57793","17","Male","Caucasian","High School","8","15","No","Moderate","No","No","No","Yes","1.56","F"
"1013","Andrea Reyes","2225 Mendez Haven Suite 981, East Kaylaland, NC 48575","17","Male","African American","High School","10","21","No","High","Yes","No","No","No","1.52","F"
"1014","Cynthia Ramsey","Unit 8339 Box 9760, DPO AE 73605","17","Male","African American","Graduate","12","21","No","Very High","No","Yes","No","No","1.75","F"
"1015","Gregory Walker","0982 Davis Harbors Suite 018, Lake Jamesfurt, AZ 32464","18","Female","Caucasian","High School","11","9","Yes","Moderate","No","No","No","No","2.40","D"
"1016","Jon Porter","00445 Taylor Forge Suite 074, Deckermouth, MO 48688","15","Male","Caucasian","Graduate","10","17","Yes","None","No","Yes","No","No","1.34","F"
"1017","Joshua Gibson","922 Carroll Turnpike, Jeffreyshire, MT 29042","18","Male","Other","High School","10","14","No","Moderate","Yes","Yes","No","No","2.23","D"
"1018","Sabrina Franklin","63191 Flores Gardens Apt. 363, Rebeccaton, WI 07354","18","Female","Caucasian","None","4","16","Yes","Moderate","No","No","No","No","1.38","F"
"1019","Mario Allen","PSC 6758, Box 1069, APO AE 64666","18","Male","African American","Post Graduate","16","29","No","Moderate","Yes","No","No","Yes","0.47","F"
"1020","Christina Rodriguez","38622 Arnold Spur, Hammondfort, RI 03352","17","Male","Caucasian","High School","11","9","No","Moderate","No","No","Yes","No","2.40","D"
"1021","Donald Dalton","6845 Parsons Shoal, South Kevinmouth, GA 50817","16","Female","Caucasian","Post Graduate","3","2","No","High","No","No","No","Yes","2.78","C"
"1022","Rachel Chen","99453 Steven Course Suite 530, Harrischester, ID 81117","15","Male","Caucasian","Graduate","15","25","No","Low","Yes","No","No","No","0.35","F"
"1023","Kelsey Padilla","USCGC Russell, FPO AA 07761","16","Female","African American","None","19","29","Yes","Low","No","No","No","No","0.31","F"
"1024","John Rodriguez","4274 Dixon Village, Port Jonathan, NH 75517","18","Female","Other","PHD","19","20","No","Moderate","Yes","No","No","No","1.77","F"
"1025","Corey Powers","306 Lucero Lock, Holtmouth, NJ 19634","18","Female","Caucasian","High School","7","15","No","Moderate","No","No","No","No","1.51","F"
"1026","Christian Patel","316 Jonathan Field Suite 338, Brandonbury, LA 58639","16","Female","Caucasian","Post Graduate","3","5","No","Very High","No","No","Yes","No","2.98","C"
"1027","Cody Curtis","2389 Robert Drives Apt. 825, Port Patrick, CT 27152","16","Male","Caucasian","High School","10","2","No","Moderate","No","Yes","No","No","2.95","C"
"1028","Joseph Hogan","219 Joel Station, East Carla, TX 78494","16","Female","Caucasian","Post Graduate","2","8","No","High","No","No","Yes","No","2.15","D"
"1029","Michelle Mcdowell","0633 Jacob Crescent, West Kayla, OH 82206","18","Male","Caucasian","None","19","10","No","High","Yes","No","No","No","2.85","C"
"1030","Bryan Wilson","7694 Colleen Lodge Suite 379, West Melissahaven, MI 71978","18","Male","Caucasian","Graduate","4","20","No","High","Yes","No","No","No","1.52","F"
"1031","Brian Alvarado","8952 Nicole Extension, Port Rayfort, RI 65493","15","Male","Asian","Graduate","5","12","Yes","None","No","Yes","No","No","1.73","F"
"1032","Michael Watson","19506 Young Trace, Port Amanda, CA 83388","15","Male","Caucasian","Post Graduate","8","17","No","Very High","No","No","No","Yes","1.85","F"
"1033","Brenda Gibson","48932 Rogers Mount, Michellefort, CT 96993","18","Male","Caucasian","Post Graduate","8","25","No","Low","No","Yes","No","No","0.38","F"
"1034","Richard Walter","78858 Michelle Square Apt. 924, Jeffersonport, RI 52879","16","Male","Other","Post Graduate","16","21","No","None","Yes","Yes","No","No","0.95","F"
"1035","Kristy Williams","521 Guerra Inlet, New Scott, MO 47520","16","Male","Caucasian","Post Graduate","9","27","Yes","Moderate","Yes","Yes","No","No","1.14","F"
"1036","Amy Roberts","013 Benjamin Highway Apt. 962, North Andre, FL 35317","15","Male","Other","High School","3","23","No","Low","No","No","No","No","0.26","F"
"1037","Allen Jones","897 Zhang Lake Suite 991, Heatherborough, ID 01899","18","Male","Caucasian","High School","5","26","Yes","Low","No","No","No","No","0.22","F"
"1038","Frank Cruz","2304 Palmer Fields, Port Matthewton, AL 55955","15","Male","Asian","High School","10","21","Yes","Low","No","Yes","No","No","1.07","F"
"1039","Adrienne White","57504 Wilson Parks Apt. 623, Tammybury, FL 01713","15","Female","African American","High School","3","3","Yes","Low","Yes","Yes","No","No","3.02","B"
"1040","Mary Miller","000 Alexandra Flat, East Erica, NC 79042","17","Female","Asian","High School","12","21","Yes","High","Yes","Yes","No","No","1.53","F"
"1041","Whitney Williams","56039 Riley Loaf, East Marymouth, NM 39702","17","Female","Other","Graduate","11","23","Yes","Low","No","No","No","No","1.06","F"
"1042","Parker Thomas","455 Garcia Manor, West Matthewview, IL 22665","17","Male","Caucasian","High School","14","7","No","Moderate","No","No","No","No","2.63","C"
"1043","Stephen Hood","8233 Douglas Way, New Ryanberg, GA 31888","16","Female","Other","Graduate","19","12","Yes","Very High","No","No","No","No","2.81","C"
"1044","Cristina Chung MD","USNV Baird, FPO AE 08119","18","Female","Caucasian","High School","18","9","No","Moderate","No","Yes","No","No","2.89","C"
"1045","Betty Hartman","785 Thompson Fords, Norrisburgh, AR 72552","18","Female","Caucasian","High School","19","1","Yes","High","Yes","Yes","No","No","4.00","A"
"1046","Savannah Black","935 Whitney Villages, South Jennafurt, MT 89511","18","Male","Caucasian","Graduate","5","7","No","Very High","No","No","Yes","No","2.52","C"
"1047","Chad Nguyen","257 Sims Union, Changbury, DE 35821","18","Male","African American","Graduate","3","5","No","Low","Yes","No","No","No","2.56","C"
"1048","Kathryn Baldwin","2013 Stanley Locks Apt. 792, West Julia, OR 20877","17","Male","Caucasian","Graduate","6","15","No","Moderate","No","No","No","No","1.70","F"
"1049","Jason Jacobson","6416 Benjamin Manor, New Andreamouth, HI 31429","16","Male","African American","Graduate","18","17","No","High","No","No","Yes","No","2.10","D"
"1050","Mary Pierce","5050 Riley Spring, Port David, SD 09262","16","Female","African American","High School","19","16","No","Very High","Yes","No","No","No","2.46","D"
"1051","Alexa Carpenter","627 Flores Plaza, Rosston, TN 69503","17","Female","Asian","Graduate","17","5","No","High","No","No","No","No","2.94","C"
"1052","Erin Johnson","42244 Wright Shoal Apt. 955, Carolynhaven, VT 76742","16","Female","Asian","None","2","12","Yes","Low","Yes","No","Yes","No","1.99","F"
"1053","Raven Bernard","7819 Joy Mountains Suite 283, Port Ianburgh, CA 30454","17","Female","Caucasian","High School","19","22","No","Very High","No","No","Yes","No","1.57","F"
"1054","Brandy Larsen","508 Andrea Ford Apt. 202, Hawkinsville, AL 71393","18","Male","Caucasian","Graduate","8","13","No","Low","No","Yes","No","No","1.66","F"
"1055","Mark Fields","USCGC Henry, FPO AP 23793","17","Male","Caucasian","None","0","29","Yes","Moderate","Yes","Yes","No","No","0.76","F"
"1056","Dustin Baker","28245 Sanders Curve Suite 466, Coopertown, NY 32938","18","Male","Caucasian","High School","9","25","No","Moderate","No","Yes","No","No","0.80","F"
"1057","Krystal Perez","144 Shari Ferry, Marthamouth, VT 77739","18","Female","Caucasian","PHD","1","20","No","Moderate","No","Yes","Yes","No","1.34","F"
"1058","Loretta Gallegos","273 Nicole Islands, Petersonview, FL 17232","15","Male","Caucasian","PHD","11","29","No","High","Yes","No","No","No","0.29","F"
"1059","Rhonda Foley","550 Miller Fords, Monicaburgh, AK 11557","17","Male","Caucasian","High School","7","9","Yes","High","No","Yes","No","No","2.61","C"
"1060","Barbara Harris","952 Snyder Mountains, Richardland, AR 24776","15","Female","Other","None","9","23","No","High","No","Yes","No","No","0.93","F"
"1061","Dominic Hanna","2939 Jason Parks Suite 463, South Catherinefort, ND 45475","17","Female","African American","High School","12","10","No","None","Yes","No","Yes","No","1.89","F"
"1062","Lindsey Robles","518 Kathy Alley Apt. 259, Christinaborough, ME 24318","17","Male","Caucasian","High School","17","12","No","Moderate","No","No","Yes","No","2.33","D"
"1063","Adam Larson MD","638 Brittany Forks Apt. 574, Jasmineberg, CO 49209","15","Male","African American","Post Graduate","13","11","No","High","No","Yes","No","No","2.23","D"
"1064","Sandra Cole","260 White Ramp Suite 286, Gabrielside, TX 44918","15","Male","Caucasian","High School","9","8","No","Moderate","No","Yes","No","No","2.39","D"
"1065","Henry Hampton","910 Jones Drive, Batesbury, MD 52191","17","Male","Caucasian","Graduate","16","3","Yes","Very High","No","No","No","No","3.35","B"
"1066","Jade Diaz","PSC 4443, Box 1256, APO AA 26063","16","Male","African American","High School","18","6","Yes","High","Yes","No","No","No","3.26","B"
"1067","Jacqueline Young","USNS Martinez, FPO AP 90573","18","Male","Caucasian","PHD","2","23","No","High","No","Yes","No","No","1.04","F"
