"order_line","order_id","order_date","ship_date","ship_mode","customer_id","product_id","sales","quantity","discount","profit","customer_id-2","customer_name","segment","age","country","city","state","postal_code","region","product_id-2","category","sub_category","product_name"
1,"CA-2016-152156","2016-11-08","2016-11-11","Second Class","CG-12520","FUR-BO-10001798","261.96",2,"0","41.9136","CG-12520","Claire Gute","Consumer",67,"United States","Henderson","Kentucky","42420","South","FUR-BO-10001798","Furniture","Bookcases","Bush Somerset Collection Bookcase"
2,"CA-2016-152156","2016-11-08","2016-11-11","Second Class","CG-12520","FUR-CH-10000454","731.94",3,"0","219.582","CG-12520","Claire Gute","Consumer",67,"United States","Henderson","Kentucky","42420","South","FUR-CH-10000454","Furniture","Chairs","Hon Deluxe Fabric Upholstered Stacking Chairs  Rounded Back"
3,"CA-2016-138688","2016-06-12","2016-06-16","Second Class","DV-13045","OFF-LA-10000240","14.62",2,"0","6.8714","DV-13045","Darrin Van Huff","Corporate",31,"United States","Los Angeles","California","90036","West","OFF-LA-10000240","Office Supplies","Labels","Self-Adhesive Address Labels for Typewriters by Universal"
4,"US-2015-108966","2015-10-11","2015-10-18","Standard Class","SO-20335","FUR-TA-10000577","957.5775",5,"0.45","-383.031","SO-20335","Sean O'Donnell","Consumer",65,"United States","Fort Lauderdale","Florida","33311","South","FUR-TA-10000577","Furniture","Tables","Bretford CR4500 Series Slim Rectangular Table"
5,"US-2015-108966","2015-10-11","2015-10-18","Standard Class","SO-20335","OFF-ST-10000760","22.368",2,"0.2","2.5164","SO-20335","Sean O'Donnell","Consumer",65,"United States","Fort Lauderdale","Florida","33311","South","OFF-ST-10000760","Office Supplies","Storage","Eldon Fold N Roll Cart System"
6,"CA-2014-115812","2014-06-09","2014-06-14","Standard Class","BH-11710","FUR-FU-10001487","48.86",7,"0","14.1694","BH-11710","Brosina Hoffman","Consumer",20,"United States","Los Angeles","California","90032","West","FUR-FU-10001487","Furniture","Furnishings","Eldon Expressions Wood and Plastic Desk Accessories  Cherry Wood"
7,"CA-2014-115812","2014-06-09","2014-06-14","Standard Class","BH-11710","OFF-AR-10002833","7.28",4,"0","1.9656","BH-11710","Brosina Hoffman","Consumer",20,"United States","Los Angeles","California","90032","West","OFF-AR-10002833","Office Supplies","Art","Newell 322"
8,"CA-2014-115812","2014-06-09","2014-06-14","Standard Class","BH-11710","TEC-PH-10002275","907.152",6,"0.2","90.7152","BH-11710","Brosina Hoffman","Consumer",20,"United States","Los Angeles","California","90032","West","TEC-PH-10002275","Technology","Phones","Mitel 5320 IP Phone VoIP phone"
9,"CA-2014-115812","2014-06-09","2014-06-14","Standard Class","BH-11710","OFF-BI-10003910","18.504",3,"0.2","5.7825","BH-11710","Brosina Hoffman","Consumer",20,"United States","Los Angeles","California","90032","West","OFF-BI-10003910","Office Supplies","Binders","DXL Angle-View Binders with Locking Rings by Samsill"
10,"CA-2014-115812","2014-06-09","2014-06-14","Standard Class","BH-11710","OFF-AP-10002892","114.9",5,"0","34.47","BH-11710","Brosina Hoffman","Consumer",20,"United States","Los Angeles","California","90032","West","OFF-AP-10002892","Office Supplies","Appliances","Belkin F5C206VTEL 6 Outlet Surge"
11,"CA-2014-115812","2014-06-09","2014-06-14","Standard Class","BH-11710","FUR-TA-10001539","1706.184",9,"0.2","85.3092","BH-11710","Brosina Hoffman","Consumer",20,"United States","Los Angeles","California","90032","West","FUR-TA-10001539","Furniture","Tables","Chromcraft Rectangular Conference Tables"
12,"CA-2014-115812","2014-06-09","2014-06-14","Standard Class","BH-11710","TEC-PH-10002033","911.424",4,"0.2","68.3568","BH-11710","Brosina Hoffman","Consumer",20,"United States","Los Angeles","California","90032","West","TEC-PH-10002033","Technology","Phones","Konftel 250 Conference phone Charcoal black"
13,"CA-2017-114412","2017-04-15","2017-04-20","Standard Class","AA-10480","OFF-PA-10002365","15.552",3,"0.2","5.4432","AA-10480","Andrew Allen","Consumer",50,"United States","Concord","North Carolina","28027","South","OFF-PA-10002365","Office Supplies","Paper","Xerox 1967"
14,"CA-2016-161389","2016-12-05","2016-12-10","Standard Class","IM-15070","OFF-BI-10003656","407.976",3,"0.2","132.5922","IM-15070","Irene Maddox","Consumer",66,"United States","Seattle","Washington","98103","West","OFF-BI-10003656","Office Supplies","Binders","Fellowes PB200 Plastic Comb Binding Machine"
15,"US-2015-118983","2015-11-22","2015-11-26","Standard Class","HP-14815","OFF-AP-10002311","68.81",5,"0.8","-123.858","HP-14815","Harold Pawlan","Home Office",20,"United States","Fort Worth","Texas","76106","Central","OFF-AP-10002311","Office Supplies","Appliances","Holmes Replacement Filter for HEPA Air Cleaner  Very Large Room  HEPA Filter"
16,"US-2015-118983","2015-11-22","2015-11-26","Standard Class","HP-14815","OFF-BI-10000756","2.544",3,"0.8","-3.816","HP-14815","Harold Pawlan","Home Office",20,"United States","Fort Worth","Texas","76106","Central","OFF-BI-10000756","Office Supplies","Binders","Storex DuraTech Recycled Plastic Frosted Binders"
17,"CA-2014-105893","2014-11-11","2014-11-18","Standard Class","PK-19075","OFF-ST-10004186","665.88",6,"0","13.3176","PK-19075","Pete Kriz","Consumer",46,"United States","Madison","Wisconsin","53711","Central","OFF-ST-10004186","Office Supplies","Storage","Stur-D-Stor Shelving  Vertical 5-Shelf: 72H x 36W x 18 1/2D"
18,"CA-2014-167164","2014-05-13","2014-05-15","Second Class","AG-10270","OFF-ST-10000107","55.5",2,"0","9.99","AG-10270","Alejandro Grove","Consumer",18,"United States","West Jordan","Utah","84084","West","OFF-ST-10000107","Office Supplies","Storage","Fellowes Super Stor/Drawer"
19,"CA-2014-143336","2014-08-27","2014-09-01","Second Class","ZD-21925","OFF-AR-10003056","8.56",2,"0","2.4824","ZD-21925","Zuschuss Donatelli","Consumer",66,"United States","San Francisco","California","94109","West","OFF-AR-10003056","Office Supplies","Art","Newell 341"
20,"CA-2014-143336","2014-08-27","2014-09-01","Second Class","ZD-21925","TEC-PH-10001949","213.48",3,"0.2","16.011","ZD-21925","Zuschuss Donatelli","Consumer",66,"United States","San Francisco","California","94109","West","TEC-PH-10001949","Technology","Phones","Cisco SPA 501G IP Phone"
21,"CA-2014-143336","2014-08-27","2014-09-01","Second Class","ZD-21925","OFF-BI-10002215","22.72",4,"0.2","7.384","ZD-21925","Zuschuss Donatelli","Consumer",66,"United States","San Francisco","California","94109","West","OFF-BI-10002215","Office Supplies","Binders","Wilson Jones Hanging View Binder  White  1"
22,"CA-2016-137330","2016-12-09","2016-12-13","Standard Class","KB-16585","OFF-AR-10000246","19.46",7,"0","5.0596","KB-16585","Ken Black","Corporate",67,"United States","Fremont","Nebraska","68025","Central","OFF-AR-10000246","Office Supplies","Art","Newell 318"
23,"CA-2016-137330","2016-12-09","2016-12-13","Standard Class","KB-16585","OFF-AP-10001492","60.34",7,"0","15.6884","KB-16585","Ken Black","Corporate",67,"United States","Fremont","Nebraska","68025","Central","OFF-AP-10001492","Office Supplies","Appliances","Acco Six-Outlet Power Strip  4 Cord Length"
